# t_cor, memoryf, rdudt, uu 
 (0.0000000e+00+0.0000000e+00j)  (1.2779991e-01-8.6734717e-19j)  (5.5949720e-03+8.0344459e-20j)  (4.3779155e-02+0.0000000e+00j)

 (5.0000000e-02+0.0000000e+00j)  (1.2587213e-01-1.0525903e-03j)  (5.5105756e-03-4.6081512e-05j)  (4.3786171e-02+2.0273881e-05j)

 (1.0000000e-01+0.0000000e+00j)  (1.2011685e-01-2.1306908e-03j)  (5.2586141e-03-9.3279842e-05j)  (4.3779019e-02+4.0884882e-05j)

 (1.5000000e-01+0.0000000e+00j)  (1.1132055e-01-3.1458063e-03j)  (4.8735194e-03-1.3772074e-04j)  (4.3759363e-02+6.2087068e-05j)

 (2.0000000e-01+0.0000000e+00j)  (1.0064476e-01-3.9665057e-03j)  (4.4061425e-03-1.7365027e-04j)  (4.3727900e-02+8.3419240e-05j)

 (2.5000000e-01+0.0000000e+00j)  (8.9181643e-02-4.5897132e-03j)  (3.9042969e-03-2.0093376e-04j)  (4.3684769e-02+1.0461942e-04j)

 (3.0000000e-01+0.0000000e+00j)  (7.7713848e-02-5.1526287e-03j)  (3.4022466e-03-2.2557773e-04j)  (4.3631590e-02+1.2613649e-04j)

 (3.5000000e-01+0.0000000e+00j)  (6.6728144e-02-5.6143822e-03j)  (2.9213017e-03-2.4579291e-04j)  (4.3570738e-02+1.4812953e-04j)

 (4.0000000e-01+0.0000000e+00j)  (5.6556276e-02-5.9264647e-03j)  (2.4759859e-03-2.5945562e-04j)  (4.3503280e-02+1.7010607e-04j)

 (4.5000000e-01+0.0000000e+00j)  (4.7426010e-02-6.0382230e-03j)  (2.0762706e-03-2.6434830e-04j)  (4.3429357e-02+1.9184558e-04j)

 (5.0000000e-01+0.0000000e+00j)  (3.9460988e-02-6.0299966e-03j)  (1.7275687e-03-2.6398815e-04j)  (4.3350287e-02+2.1387698e-04j)

 (5.5000000e-01+0.0000000e+00j)  (3.2541876e-02-5.9646588e-03j)  (1.4246558e-03-2.6112772e-04j)  (4.3267983e-02+2.3645926e-04j)

 (6.0000000e-01+0.0000000e+00j)  (2.6440026e-02-5.8224321e-03j)  (1.1575220e-03-2.5490116e-04j)  (4.3183024e-02+2.5915970e-04j)

 (6.5000000e-01+0.0000000e+00j)  (2.1038188e-02-5.4903258e-03j)  (9.2103408e-04-2.4036182e-04j)  (4.3095066e-02+2.8176041e-04j)

 (7.0000000e-01+0.0000000e+00j)  (1.6385090e-02-4.9297814e-03j)  (7.1732540e-04-2.1582166e-04j)  (4.3004919e-02+3.0476025e-04j)

 (7.5000000e-01+0.0000000e+00j)  (1.2336762e-02-4.1895213e-03j)  (5.4009301e-04-1.8341370e-04j)  (4.2914032e-02+3.2840601e-04j)

 (8.0000000e-01+0.0000000e+00j)  (8.7207448e-03-3.3116696e-03j)  (3.8178684e-04-1.4498209e-04j)  (4.2822628e-02+3.5227874e-04j)

 (8.5000000e-01+0.0000000e+00j)  (5.5532713e-03-2.3080579e-03j)  (2.4311752e-04-1.0104482e-04j)  (4.2730110e-02+3.7616031e-04j)

 (9.0000000e-01+0.0000000e+00j)  (2.9208895e-03-1.2246101e-03j)  (1.2787407e-04-5.3612396e-05j)  (4.2637029e-02+4.0046873e-04j)

 (9.5000000e-01+0.0000000e+00j)  (7.5447075e-04-1.5132274e-04j)  (3.3030091e-05-6.6247818e-06j)  (4.2544593e-02+4.2527226e-04j)

